Position,Company,Location
Analytics Engineer,Sky Mavis,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Software Test Engineer,VFast Recruits,"Hanoi, Hanoi, Vietnam"
Income Auditor,Marriott,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Cloud Engineer (AWS),Techcombank (TCB),"Ho Chi Minh City, Vietnam"
Senior Human Resources Manager,AdStart Media,Ho Chi Minh City Metropolitan Area
Project Manager,JAC Group,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Sales & Customer Service Management Executive,British Council,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Kiểm thử Bảo mật (Pentester),Techcombank (TCB),"Ho Chi Minh City, Vietnam"
Porftfolio management Manager - Top Financial service company,Michael Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
QA Engineer (Remote),Boost Commerce,"Hanoi, Hanoi, Vietnam"
"Senior Officer, Technology and Digital Risk Management (40000876)",Techcombank (TCB),"Hanoi, Hanoi, Vietnam"
Technical Director - Blockchain Game Start-up,Michael Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
200 Fresh Embedded Engineers (HCM and Hanoi),Bosch Global Software Technologies Vietnam,"Ho Chi Minh City, Vietnam"
Data Analyst,SoftwareONE,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Manager, Credit Control Retail",UOB,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
RPA Consultant/Senior Consultant,ABeam Consulting,"Ho Chi Minh City, Vietnam"
IT Technical support - Microsoft Global Partner all levels,Michael Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
(Hanoi & Da Nang) Junior/ Senior Tester,PLAYSTUDIOS VIETNAM,"Hanoi, Hanoi, Vietnam"
"Acquisition Technical Specialist, Modern Work and Security, Vietnamese speaking",Microsoft,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
(Remote) Software Development Engineer in Test,Employment Hero,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Facilities Coordinator,JLL,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
DevOps Engineer (Junior - Mid),OOOLAB,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Network and System Engineer,GEET | Global Elite Education and Training Corporation,"Hanoi, Hanoi, Vietnam"
Team Lead,"Torus Engineering., JSC","Hai Bà Trưng District, Hanoi, Vietnam"
Team Lead,"Torus Engineering., JSC","Hai Bà Trưng District, Hanoi, Vietnam"
Digital Data Reviewer (Vietnamese) - Based in Kuala Lumpur,Accenture,"Ho Chi Minh City, Vietnam"
[Work from anywhere] Senior Smart Contract Developer (Blockchain/Crypto/DeFi),KyberNetwork,"Hanoi, Hanoi, Vietnam"
Data Scientist,GeoGuard,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Delivery Manager - Yearly Package Up to 1.2 Billion VND,FPT Software Career,"Da Nang City, Vietnam"
DevSecOps Engineer,Trusting Social Career Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Solutions Architect,eTeam,"Hanoi, Hanoi, Vietnam"
Guest Services Associate,Sheraton Hotels & Resorts,"Ho Chi Minh City, Vietnam"
Facilities Coordinator,JLL,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
[Glints Recommended] Mid Backend,WOAY,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Warehousing Assistant Manager,Rhenus Logistics Asia Pacific,"Binh Duong, Vietnam"
"Engineering Manager, QA",Coinhako,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Supervisor, Reservation Services",Hoiana Resort & Golf,"Quang Nam, Quang Nam, Vietnam"
"Director of Engineering - JW Marriott Residences Grand Marina, Saigon & Marriott Residences Grand Marina, Saigon",Marriott,Vietnam
Operation Supervisor - Giám Sát Vận Hành (Showroom),WEDDINGBOOK SAIGON,"Ho Chi Minh City, Vietnam"
Fresher-Junior Devops-Upto 20M,SETA International,"Hanoi, Hanoi, Vietnam"
"Engineering Manager, Real time Operations",Axon,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Senior Officer, Data Governance (40000070)",Techcombank (TCB),"Hanoi, Hanoi, Vietnam"
Senior Project Manager - Vietnam,Rackspace Technology,Vietnam
Software/ Data Engineer,Techcombank (TCB),"Ho Chi Minh City, Vietnam"
PYTHON DEVELOPER - 2000$,Fetch Technology,"Ho Chi Minh City, Vietnam"
Sales and Customer Management Executive,British Council,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Service Engineer,GROB-WERKE GmbH & Co. KG,"Hanoi, Hanoi, Vietnam"
"Staff Engineer, Backend",Funding Societies | Modalku Group,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Automation Tester,Earable,"Hanoi, Hanoi, Vietnam"
Senior Automation Tester,Earable,"Hanoi, Hanoi, Vietnam"
Tuyển Pentester (1-3 năm kinh nghiệm),Công ty Hệ thống Công nghệ ETC,"Cầu Giấy, Hanoi, Vietnam"
Data Architect,Techcombank (TCB),Hanoi Capital Region
Senior Technical Lead,Hex Trust,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
QA Engineer,Axon,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Guest Services Associate I,Le Méridien Hotels & Resorts,"Ho Chi Minh City, Vietnam"
QA Engineer,Axon,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Web3 Full Stack Web Developer/CTO,Cyborn,Vietnam
Senior Engineering Manager - Platform Development Team,Inspectorio,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Engineer,Cloud Ace,"Hanoi, Hanoi, Vietnam"
DevOps Lead/ Expert,One Mount,"Hanoi, Hanoi, Vietnam"
"Officer, DevSecOps (40001148)",Techcombank (TCB),"Hanoi, Hanoi, Vietnam"
Operations Coordinator Lead,Aloha Consulting Group,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Market Data Specialist,Confluence,"Hanoi, Hanoi, Vietnam"
Client Partner - Twitter,Entravision MediaDonuts Vietnam,"Ho Chi Minh City, Vietnam"
Data Analyst - Ho Chi Minh,GeoComply,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
DevOps Engineer,Hansen Technologies,Vietnam
"Product Marketing Manager (APAC Remote/HCMC, relocation support available)",Sky Mavis,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Blockchain Developer (Solidity/Java),Lecle Vietnam,"Quận 1, Ho Chi Minh City, Vietnam"
Bellman,Sheraton Hotels & Resorts,"Ho Chi Minh City, Vietnam"
Product CVP Operations Manager - Loyalty,Michael Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Cost Officer,Marriott,"Phú Quoc, Vietnam"
Senior Consultant | Personal Income Tax (People Advisory Services) | HCMC Office,EY,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Virtualization Engineer,Accenture,"Ho Chi Minh City, Vietnam"
Solutions Architect,Verticurl (A WPP Company),"Ho Chi Minh City, Vietnam"
Remote Healthcare Interpreter (English - Mandarin/Cantonese/H'mong),"UIO Languages Vietnam Co., Ltd.",Vietnam
Software Engineer (C++) - MDC,OPSWAT,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
R-13627 Data Architect,Rackspace Technology,Vietnam
Cluster IT Specialist - Sheraton Phu Quoc Long Beach Resort,Sheraton Hotels & Resorts,"Kien Giang, Vietnam"
"Manager, Equity",Eastspring Investments,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Workday Specialist,BitMEX,Vietnam
Director of Products,OPSWAT,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Logistic Teamleader (Import Export and Warehouse Management),Central Retail in Vietnam,"Ho Chi Minh City, Vietnam"
Senior Business Insights Manager,TDCX,"Ho Chi Minh City, Vietnam"
Sales Development Representative (APAC),OPSWAT,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
(Senior) Solution Architect,Techcombank (TCB),"Hanoi, Hanoi, Vietnam"
Data Scientist,GeoComply,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
System Engineer,Tech Data,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Payroll Specialist,ManpowerGroup Vietnam,"Ho Chi Minh City, Vietnam"
Junior DevOps Engineer,Got It AI,"Hanoi, Hanoi, Vietnam"
DevSecOps Engineer,Trusting Social,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Talented IT Graduates/Freshers,Netcompany,"Ho Chi Minh City, Vietnam"
Business Development Executive,Onyx Vietnam,"Hanoi, Hanoi, Vietnam"
Strategic Planner,AdAsia Holdings,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Program Manager - Sustainability Urban Renewal project,Michael Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Operation Manager (Vietnamese only),Navigos Search's Client,"Ho Chi Minh City, Vietnam"
Engineering Manager/Technology Director,Aloha Consulting Group,Ho Chi Minh City Metropolitan Area
[$100k-400k annual] Blockchain Engineer/Expert_Defi,Michael Page,"Hanoi, Hanoi, Vietnam"
QA Engineering Manager,Axon,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Python Developer - (Fully Remote),Flex by Finaxar,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Delivery Lead,Techcombank (TCB),Ho Chi Minh City Metropolitan Area
Business Development Executive,AdAsia Holdings,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Nhân viên Thiết kế,Vietnam Cyberspace Security Technology (VNCS),"Hanoi, Hanoi, Vietnam"
Principal Consultant (Data Architect) - VN,Rackspace Technology,Vietnam
Expression of Interest - Associate Solutions Architect,Amazon Web Services (AWS),"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
[BAP - HCM] TESTER,"BAP IT Co., JSC","Ho Chi Minh City, Vietnam"
Automation QA Engineer,Sky Mavis,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Business Analyst,Softline International,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
DevOps Engineer (HCM),Techcombank (TCB),"Ho Chi Minh City, Vietnam"
Java Developer,FileString,"Ho Chi Minh City, Vietnam"
DevOps Engineer (HCM),Techcombank (TCB),"Ho Chi Minh City, Vietnam"
Financial Analyst (Fresher),Jabil,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Infrastructure Engineer - Experiments,Xendit,"Hanoi, Hanoi, Vietnam"
[HCM] Nhân Viên PreSale,SSS Việt Nam,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior SRE/DevOps Engineer (AWS/Azure),NAB Innovation Centre Vietnam,"Ho Chi Minh City, Vietnam"
Customer Success Associate (Afternoon shift: 14:00 - 22:00),GeoComply,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Architect,Techcombank (TCB),"Ho Chi Minh City, Vietnam"
Senior Cloud Engineer,Techcombank (TCB),"Hanoi, Hanoi, Vietnam"
HR Payroll Executive,Allianz Malaysia,"My Tho, Vietnam"
Pre-sales (BDM) Security (non-MS),Softline Group,"Hanoi, Hanoi, Vietnam"
DevOps Engineer,AdStart Media,"Minh Khai, Hanoi, Vietnam"
Technical Executive,JLL,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
IT Specialist - Sheraton Can Tho,Sheraton Hotels & Resorts,"Can Tho, Can Tho, Vietnam"
Finance Specialist,Marriott,Ho Chi Minh City Metropolitan Area
Office Administration Specialist cum Receptionist,JTI (Japan Tobacco International),"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
HR Payroll Executive,Allianz Malaysia,"My Tho, Vietnam"
Pre-sales (BDM) Security (non-MS),Softline Group,"Hanoi, Hanoi, Vietnam"
DevOps Engineer,AdStart Media,"Minh Khai, Hanoi, Vietnam"
Technical Executive,JLL,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Automation Tester (Network Domain),HCLTech Vietnam,"Ho Chi Minh City, Vietnam"
IT Specialist - Sheraton Can Tho,Sheraton Hotels & Resorts,"Can Tho, Can Tho, Vietnam"
Finance Specialist,Marriott,Ho Chi Minh City Metropolitan Area
Office Administration Specialist cum Receptionist,JTI (Japan Tobacco International),"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Software Test Engineer Intern (QA/QC/Tester),"KMS Technology, Inc.","Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Cluster IT Specialist - VINPEARL Landmark 81,Autograph Collection Hotels,"Ho Chi Minh City, Vietnam"
Head / VP of Engineering,Elfie,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
IT Service Delivery Specialist,Edelman,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Game Engineer,Sky Mavis,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Remote - Junior Developer,Fetch Technology,Da Nang Metropolitan Area
IT Specialist - Sheraton Hai Phong,Sheraton Hotels & Resorts,"Haiphong, Hai Phong City, Vietnam"
Customer Success Associate (Afternoon shift: 14:00 - 22:00),GeoGuard,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Infrastructure Engineer - - Automation and Platform Excellence (Platform Engineering),Grab,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Talent Acquisition Executive,Công Ty Tnhh The Lab,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Technical Lead (Java) - HCMC,Argyll Scott,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Sales Operations Manager,Enel North America,"Cà Mau, Vietnam"
Telephone Operator,Marriott,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
AWS Backend Developer,Knose Pet Care,Vietnam
(Senior) Integration Architect,Techcombank (TCB),"Ho Chi Minh City, Vietnam"
Junior Creative Strategist,Công Ty Tnhh The Lab,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Automation Tester,Gleads,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Site Reliability Engineer,OPSWAT,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Expert, Technology and Digital Risk Management (40000875)",Techcombank (TCB),"Hanoi, Hanoi, Vietnam"
HR Officer - Sheraton Phu Quoc Long Beach Resort,Marriott,"Phú Quoc, Vietnam"
[HN/HCM] Blockchain Researcher,KyberNetwork,"Hanoi, Hanoi, Vietnam"
3PL Business Expert - Warehouse Operations,H&M,"Biên Hòa, Dong Nai, Vietnam"
DevOps Engineer,Techcombank (TCB),"Hanoi, Hanoi, Vietnam"
[EMC] Software License Auditor Intern (C/C++/Java),ACCA Careers,"Ba Đình, Hanoi, Vietnam"
Admin and Office Manager - Ho Chi Minh City,Trusting Social Career Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Remote - Junior Developer,Fetch Technology,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Duty Manager (La Festa Phu Quoc, Curio Collection by Hilton",Hilton,"Phú Quoc, Vietnam"
Solution Architect,Hitachi Vantara,Ho Chi Minh City Metropolitan Area
Senior Product Development and Management Executive,IMM Group,"Ho Chi Minh City, Vietnam"
Account Manager (Audio system)- HCM,Robert Walters,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Blockchain Engineer,Skills Union,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
3PL Business Expert - Allocation,H&M,"Biên Hòa, Dong Nai, Vietnam"
Senior Human Resources Manager,AdStart Media,"Minh Khai, Hanoi, Vietnam"
Devops Engineer (Vietnam),Limeade,Vietnam
Database Administrator (Oracle or MSSQL),Accenture,"Ho Chi Minh City, Vietnam"
Site Reliability Engineer,OPSWAT,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Legal Manager,Aloha Consulting Group,"Hanoi, Hanoi, Vietnam"
Bellman,Marriott,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Admin and Office Manager - Ho Chi Minh City,Trusting Social,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Account Payable,Renaissance Hotels,"Ho Chi Minh City, Vietnam"
"Assistant Manager, Product Owner (Change & Communications Management)",Manulife,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
[HN/HCM] Middle Site Reliability Engineering (DevOps) (Blockchain/Crypto/DeFi),KyberNetwork,"Hanoi, Hanoi, Vietnam"
Bellman,Marriott,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Admin and Office Manager - Ho Chi Minh City,Trusting Social,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Account Payable,Renaissance Hotels,"Ho Chi Minh City, Vietnam"
"Assistant Manager, Product Owner (Change & Communications Management)",Manulife,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
[HN/HCM] Middle Site Reliability Engineering (DevOps) (Blockchain/Crypto/DeFi),KyberNetwork,"Hanoi, Hanoi, Vietnam"
Presales Consultant,Tech Data,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Head of Finance (Based in HCMC),Amanotes,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Frontend Developer,Pandora Digital,"Ho Chi Minh City, Vietnam"
Chuyên Gia Quản Trị Dịch Vụ Công Nghệ Thông Tin,VPBank,"Hanoi, Hanoi, Vietnam"
Senior Operations Engineer (Digital Solutions Team),PwC,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Regional HR Manager (APAC),Softline International,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Test Program Manager - HCM - 6months contract - Upto 4000USD NET,ADI CONSULTING COMPANY LIMITED,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Chuyên Viên Vận Hành Hạ Tầng ANTT,Techcombank (TCB),"Hanoi, Hanoi, Vietnam"
"Account Manager -Ho Chi Minh, Vietnam",Convergint Asia Pacific,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
DevOps Engineer (HCM - HN - DN),Hitachi Vantara,"Ho Chi Minh City, Vietnam"
"Public Sector Account Executive, VN",Intel Corporation,"Hanoi, Hanoi, Vietnam"
Solution Engineer,H3C,"Hanoi, Hanoi, Vietnam"
Analytic and Data Product Strategy Manager,Vingroup JSC,"Hanoi, Hanoi, Vietnam"
Executive Assistant cum Admin Specialist,JTI (Japan Tobacco International),"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior IT and System Engineer,V-Key - Stronger with V-OS,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Technical Sourcer (12 months contract, relocation provided)",Agoda,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Deployment Engineer,Katalon,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Kỹ sư mạng (Network Engineer),Công Ty Tnhh Ditecc,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Junior 2D Background Game Artist,Sky Mavis,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
DevOps Engineer (Data Division),Techcombank (TCB),"Hanoi, Hanoi, Vietnam"
DevOps Engineer (Data Division),Techcombank (TCB),"Hanoi, Hanoi, Vietnam"
OBA-IPQC Supervisor,Universal Electronics,"Haiphong, Hai Phong City, Vietnam"
Senior Java Software Engineer,Pegasi,Vietnam
Service Manager,Softline Group,"Hanoi, Hanoi, Vietnam"
"Technical Lead (AWS, ASP.NET) - Product US), Sign-on bonus 1 month salary",Simpson Strong-Tie Viet Nam,"Ho Chi Minh City, Vietnam"
Senior DevOps Engineer,Katalon,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Regional HR Manager (APAC),Softline Group,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Software Engineering Manager, Devices",Axon,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Tenant Coordinator/ Sales Officer,JAC Group,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Expert, IT Operations (40001119)",Techcombank (TCB),"Hanoi, Hanoi, Vietnam"
IELTS Operations Manager,IDP Education Ltd,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Assistant Human Resources Manager - Four Points by Sheraton Lang Son,Four Points by Sheraton,"Son La, Vietnam"
Department Manager ( Quản lý ngành hàng tại cửa hàng) - Đà Nẵng Based,H&M,Da Nang Metropolitan Area
DevOps Engineer,Ansarada,"Ho Chi Minh City, Vietnam"
Senior Account Executive,Công Ty Tnhh The Lab,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Cloud Ops Team Lead,V-Key - Stronger with V-OS,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Engineering Manager,GeoComply,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
React js,Plusteam Global,"Ho Chi Minh City, Vietnam"
Backend Engineer (Python),Got It Vietnam,"Hanoi, Hanoi, Vietnam"
[2000$-4000$] REACTJS DEVELOPER (3YOE+),Plusteam Global,"Ho Chi Minh City, Vietnam"
"Senior Technical Architect (Java, AWS)",Katalon,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
QA Engineer (Server),V-Key - Stronger with V-OS,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Enterprise Architect,Allianz Malaysia,"My Tho, Vietnam"
Associate Director,"Clinton Health Access Initiative, Inc.",Vietnam
IELTS Examiner,IDP Education Ltd,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Associate Director,"Clinton Health Access Initiative, Inc.",Vietnam
IELTS Examiner,IDP Education Ltd,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Blockchain Developer,BAP Group,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Planning Manager,Maxim Recruitment Limited,Ho Chi Minh City Metropolitan Area
Fullstack Developer Remote,Axpara.com,"Ho Chi Minh City, Vietnam"
HR Officer - Sheraton Phu Quoc Long Beach Resort,Sheraton Hotels & Resorts,"Kien Giang, Vietnam"
[HCM/FTI] International Sales Representative (B2B),FPT Telecom International,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
TA Specialist (Testing),Jabil,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Teach English From Home!,YiYiEnglish,Vietnam
IT Governance Senior Specialist (Chuyên viên Cấp cao Quản trị Công nghệ Thông tin),Prudential Vietnam Assurance Private Ltd.,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Assistant Manager E-Commerce - Vinpearl Landmark 81, Autograph Collection",Autograph Collection Hotels,"Ho Chi Minh City, Vietnam"
Database Administrator (Exp./Senior),Havas Group,"Ho Chi Minh City, Vietnam"
Java Developer,SmartDev,"Đà Nang, Da Nang City, Vietnam"
Senior Business Analyst,Softline Group,"Hanoi, Hanoi, Vietnam"
Account Payable,Marriott,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Senior Solutions Architect - Enterprise, Vietnam SA Team",Amazon Web Services (AWS),"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Software Tester,Adnovum,"Ho Chi Minh City, Vietnam"
Duty Manager,Marriott,"Nha Trang, Khanh Hoa, Vietnam"
"Software Engineers (JavaScript, React)",Employment Hero,Vietnam
Human Resources Officer - Vinpearl Landmark 81 - Autograph Collection,Autograph Collection Hotels,"Ho Chi Minh City, Vietnam"
C&B Manager,Michael Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
SENIOR IT ENGINEER,"Evoss Global, Inc.","Cam My, Dong Nai, Vietnam"
[BAP - HCM] BLOCKCHAIN DEVELOPER,"BAP IT Co., JSC","Ho Chi Minh City, Vietnam"
HUB OPERATOR - EXPORT,UPS,"Xã Đội Cấn, Tuyen Quang, Vietnam"
Professional Accountant (Payroll),DXC Technology Vietnam,"Ho Chi Minh City, Vietnam"
[BAP - HCM] BLOCKCHAIN DEVELOPER,"BAP IT Co., JSC","Ho Chi Minh City, Vietnam"
HUB OPERATOR - EXPORT,UPS,"Xã Đội Cấn, Tuyen Quang, Vietnam"
Professional Accountant (Payroll),DXC Technology Vietnam,"Ho Chi Minh City, Vietnam"
C&B Manager,Ninja Van,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Manager, Revenue Operations",OPSWAT,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Expert, Collateral Management (40000715)",Techcombank (TCB),"Hanoi, Hanoi, Vietnam"
Delivery Manager,EPAM Systems,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Automation Test Engineer (Middle/ Senior),NashTech,"Hanoi, Hanoi, Vietnam"
Lập Trình Viên Blockchain,BAP Group,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
[Glints Recommended] Senior Backend,WOAY,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Area Customer Implementation - SCM /4PL (HCM/Hanoi) (9 months contract),A.P. Moller - Maersk,Ho Chi Minh City Metropolitan Area
Workplace Admin,JLL,"Hanoi, Hanoi, Vietnam"
Warehouse Manager,Ninja Van,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Fullstack Engineer,Frontline,"Ho Chi Minh City, Vietnam"
"Senior HR Business Partner, Commercial",Avery Dennison,"Nhà Bè District, Ho Chi Minh City, Vietnam"
Sales System Development Manager,Kimberly-Clark,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Officer, Credit Processing (40000108)",Techcombank (TCB),"Hanoi, Hanoi, Vietnam"
Customer Project Technical Senior Engineer (Power System),Schneider Electric,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Back-end Engineer,Sky Mavis,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Remote AWS DevOps Engineer Jobs,Turing.com,Vietnam
Backend Engineer (Data),Sky Mavis,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Guest Services Associate I,Marriott,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Assistant Warehouse Supervisor,AstraZeneca,"District 1, Ho Chi Minh City, Vietnam"
Fresher Java Developer,Unit,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Devops Engineer (Vietnam),Limeade,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Oracle Cloud Technical Consultant,Fetch Technology,Da Nang Metropolitan Area
Software/ Data Engineer,Techcombank (TCB),"Hanoi, Hanoi, Vietnam"
Environment Engineering_JW Marriott Hotel Hanoi,JW Marriott,"Hanoi, Hanoi, Vietnam"
Automation QA Engineer (Sonar Team),AS White Global,Vietnam
"SOC Engineer, II - 39458BR",Synopsys Inc,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Reservation Agent,Westin Hotels & Resorts,"U Minh, Ca Mau, Vietnam"
"Product Owner, Digital Experience",Manulife,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Solution Architect,Techcombank (TCB),Ho Chi Minh City Metropolitan Area
HR Manager,PERSOLKELLY Vietnam,"Dong Nai, Vietnam"
BUSINESS PLANNING STAFF,Lotte Coralis Việt Nam,"Hanoi, Hanoi, Vietnam"
Venue Supervisor,Marriott,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
DevOps Engineer,AdStart Media Pte. Ltd,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
SAP Successfactors Consultant,TDCX,"Ho Chi Minh City, Vietnam"
"Senior Software Engineer, Backend",Grab,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Guest Service Agent,Renaissance Hotels,"Ho Chi Minh City, Vietnam"
Technical Architect,POC Pharma,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Business Analyst (Software Development),Haravan,"District 12, Ho Chi Minh City, Vietnam"
QC Engineer (Tester),Gameloft Vietnam,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Project Technician,JLL,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Solution Sales Leader, Vietnam",Microsoft,"Hanoi, Hanoi, Vietnam"
Logistic Supervisor,Syngenta,"Biên Hòa, Dong Nai, Vietnam"
"Assistant Manager E-Commerce - Vinpearl Landmark 81, Autograph Collection",Marriott,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Guest Service Agent,Marriott,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
DevOps Engineer,Hansen Technologies,"Ho Chi Minh City, Vietnam"
