Position,Company,Location
Data Analyst,Dat Bike,"Tân Phú, Ho Chi Minh City, Vietnam"
Technical Team Lead,"Torus Engineering., JSC",Vietnam
Information Security Administrator,Techcombank (TCB),"Hanoi, Hanoi, Vietnam"
"Associate – Consultant (Cybersecurity Strategy, Governance Risk & Compliance)",AS White Global,Vietnam
Senior Consultant - Cyber Security,PwC,"Hanoi, Hanoi, Vietnam"
[HN/HCM] Cyber Security Engineer (Fresher -> Manager level),Viettel Cyber Security,"Hanoi, Hanoi, Vietnam"
Junior Business Analyst,Kyanon Digital,"Ho Chi Minh City, Vietnam"
Mid/Senior Security Engineer (DevSecOps),BAEMIN Vietnam (Woowa Bros.),"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
(Senior/Expert) Digital Risk Management,Techcombank (TCB),Hanoi Capital Region
Security Researcher ICS CERT,Kaspersky,"Hanoi, Hanoi, Vietnam"
"Consultant (Red, Offensive Security)",AS White Global,Vietnam
Network & Security Infrastruture Expert,Techcombank (TCB),Hanoi Capital Region
Senior Associate - IT Audit,PwC Vietnam,"Ho Chi Minh City, Vietnam"
"AM, Identity Access Management (IAM) - IT Security Operations Dept",Allianz Malaysia,"My Tho, Vietnam"
"Senior Officer, Information Security 3",Techcombank (TCB),"Hanoi, Hanoi, Vietnam"
Senior Pentester M/F,Bouygues Travaux Publics,"Cộng Hòa, Hanoi, Vietnam"
Climate Resilience Specialist,World Vision,"Hanoi, Hanoi, Vietnam"
"Senior Officer, Information Security (0436)",Techcombank (TCB),Ho Chi Minh City Metropolitan Area
Senior Technology Risk _ Hanoi Office,EY,"Quân Phuong Ha Trai, Vietnam"
Cyber Security Intern (Remote Cybersecurity Internship),Brainnest,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Security Engineer (SecOps),PAVE,"Ho Chi Minh City, Vietnam"
Nhân viên Bảo mật (Security Engineering),FPT IS,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Software Tester,Mediastep Software Vietnam,"Tân Bình, Ho Chi Minh City, Vietnam"
QC manual Mid level,DXC Technology,"Ho Chi Minh City, Vietnam"
IT Senior Staff (Infrastructure),"Panasonic Appliances Vietnam Co., Ltd","Đông Anh, Hanoi, Vietnam"
Ecommerce Anti-fraud Operations Manager,TikTok,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Managing Consultant, Advisors Client Services",Mastercard,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
IT Project Manager,BE SOLUTIONS,"Ho Chi Minh City, Vietnam"
Senior Associate - IT Risk Assurance,PwC Vietnam,"Ho Chi Minh City, Vietnam"
Country IT Manager,JAC Group,Vietnam
IT Helpdesk,Sky Mavis,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"IT Business Analyst (Mid/ Senior) - HCMC, Dalat",Titan Technology Corporation,"Ho Chi Minh City, Vietnam"
Pentester,Techcombank (TCB),"Hanoi, Hanoi, Vietnam"
Senior Pentester M/F,VSL International Ltd.,"Cộng Hòa, Hanoi, Vietnam"
IT and Systems Support Executive - Up to $1.500,ITMS VIETNAM - ITMS Group Pty Ltd,"Phú Nhuận, Ho Chi Minh City, Vietnam"
System Administrator,freeC Asia,"Ho Chi Minh City, Vietnam"
"Senior Officer, Information Security (40001098)",Techcombank (TCB),"Hanoi, Hanoi, Vietnam"
Regional IT Technical Coordinator (APAC),Havas Group,"Ho Chi Minh City, Vietnam"
Network Operations Center,DTS Communication Technologies,"Ho Chi Minh City, Vietnam"
Pentester,Techcombank (TCB),"Hanoi, Hanoi, Vietnam"
General IT Consulting & Implementation Team Leader,Hitachi Vantara,"Ho Chi Minh City, Vietnam"
Information Technology Infrastructure Specialist,T&C Warehousing & Transportation JSC,"Tân Bình, Ho Chi Minh City, Vietnam"
Intern to Staff | IT Audit | Consulting Services | HCMC Office,EY,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Senior Project Manager – Information Security (Bangkok based, relocation provided)",Agoda,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Software Tester,Swiss Post Solutions,"Ho Chi Minh City, Vietnam"
IT Infrastructure Supervisor (Ho Chi Minh),Tricor Services Vietnam,"Ho Chi Minh City, Vietnam"
Chief Operating Officer,Robert Walters,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
IT Audit Manager,ANZ,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Cho Tot Security Engineer,Carousell Group,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Customer Experience Professional/Specialist (Finance Escalation),Grab,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Senior Managing Consultant, Advisors Client Services",Mastercard,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Quantitative Researcher,Athena Studio,"Ho Chi Minh City, Vietnam"
Application Lead,Tech Mahindra,"Ho Chi Minh City, Vietnam"
[Fresher] DevOps Engineer (AWS / Docker),CodeLink.io,"Ho Chi Minh City, Vietnam"
CSIRT Engineer,Hex Trust,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
IT Support Engineer,Dezan Shira & Associates,"Ho Chi Minh City, Vietnam"
IT Support Engineer,Dezan Shira & Associates,"Ho Chi Minh City, Vietnam"
Sales Executive,Dat Bike,"Ho Chi Minh City, Vietnam"
Quality Control Manager,EMPLOYMENT VIETNAM,"Ho Chi Minh City, Vietnam"
QA Engineer,Sky Mavis,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
IT Support Lead,SmartDev,"Đà Nang, Da Nang City, Vietnam"
Software Engineer (Remote | Cyber Security),Robert Walters,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Senior Application Security Engineer (Bangkok based, relocation provided)",Agoda,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Junior Devops Engineer,Công Ty Cổ Phần Công Nghệ Atalink,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
IT Helpdesk Support and Administrator,Everest Education,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Associate Risk Assurance (IT Risk),PwC,"Hanoi, Hanoi, Vietnam"
Unarmed Security Officer,"Inter-Con Security Systems, Inc.","Hanoi, Hanoi, Vietnam"
Site Director - Vietnam,TDCX,Ho Chi Minh City Metropolitan Area
"Senior Application Security Engineer (Bangkok based, relocation provided)",Agoda,"Hanoi, Hanoi, Vietnam"
"Senior Manager, IT Risk Management and Controls (Bangkok Based)",Agoda,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
DevOps Engineer,NeoX by NeoPay,"Ho Chi Minh City, Vietnam"
Staff/Assistant - Technology Risk - Hanoi Office,EY,"Quân Phuong Ha Trai, Vietnam"
Application Administrator,Swiss Post Solutions,"Ho Chi Minh City, Vietnam"
Infrastructure Security Operations (Chuyên Viên Vận Hành Hạ Tầng ANTT),Techcombank (TCB),"Hanoi, Hanoi, Vietnam"
